id,carat,depth,table,price,weight,volume,density,cut_encoded,color_encoded,clarity_encoded
0,-0.39393939393939403,0.6153846153846112,0.5,6.353,-0.39393939393939403,-0.3967894552522249,-0.12352113553388248,1,0,6
1,0.6818181818181818,0.8461538461538445,-0.5,9.183,0.6818181818181817,0.6915076753225886,-0.510802776280458,0,1,2
3,0.7878787878787878,1.2307692307692277,0.0,8.371,0.7878787878787877,0.7614365520162862,0.8202214978166515,2,3,6
5,-0.04545454545454549,-0.15384615384615552,0.0,7.496,-0.04545454545454556,-0.060587682162827415,0.8361449957808216,0,2,3
7,-0.3484848484848485,-1.2307692307692277,-0.5,6.877,-0.3484848484848486,-0.3346039667643715,-1.9978214863266208,0,1,2
8,-0.3636363636363637,0.9999999999999946,-0.5,6.554,-0.36363636363636376,-0.3673170730381408,-0.015853824548511863,2,1,4
9,-0.43939393939393945,0.15384615384615005,0.0,6.683,-0.4393939393939395,-0.4480287928731785,0.6972105901571051,0,1,2
10,0.10606060606060598,-0.38461538461538336,-0.5,7.484,0.10606060606060595,0.1097925099516106,-0.45806095458646473,0,0,5
11,-0.37878787878787884,-0.15384615384615552,-0.5,6.353,-0.3787878787878789,-0.38572110922303815,0.3909981016753152,0,3,4
12,-0.04545454545454549,0.3076923076923056,-1.0,7.554,-0.04545454545454556,-0.06023792131526208,0.809962448730396,0,2,3
13,0.21212121212121196,0.4615384615384611,0.0,7.671,0.21212121212121202,0.20555540836299657,0.15251545750198509,2,4,3
16,0.22727272727272713,0.3076923076923056,-1.0,8.087,0.22727272727272715,0.22652889682705968,-0.16590449800070659,0,0,5
17,-0.3636363636363637,0.5384615384615334,0.0,6.23,-0.36363636363636376,-0.3646524777001774,-0.335182925132647,0,3,5
18,-0.060606060606060656,0.0,-0.5,7.451,-0.06060606060606071,-0.055051214879239155,-0.6865713285380592,0,3,3
19,-0.2121212121212122,-1.7692307692307667,1.0,7.072,-0.21212121212121224,-0.20590575890219087,-0.9066964437278865,1,3,1
21,0.03030303030303016,0.5384615384615334,-2.0,7.365,0.03030303030303009,0.04711285987849312,-1.3400240478429952,0,5,1
22,1.424242424242424,-3.769230769230756,3.0,8.976,1.4242424242424243,1.3926258131162281,0.7245287389723517,4,5,5
23,-0.39393939393939403,0.3076923076923056,-1.0,6.76,-0.39393939393939403,-0.38545566506451584,-1.539691098547397,0,3,0
25,-0.07575757575757582,-0.15384615384615552,-0.5,7.911,-0.07575757575757587,-0.07462054622094416,-0.37178361830669066,0,2,1
26,0.9696969696969695,-2.6153846153846056,1.0,8.961,0.9696969696969696,0.9825318458933252,-0.5298913570457741,1,3,4
