id,carat,depth,table,x,y,z,price,cut_oe,color_oe,clarity_oe
0,-0.34328358208955234,0.6428571428571425,0.6666666666666666,-0.47668393782383445,-0.5025906735751294,-0.47368421052631576,6.353,1.0,5.0,0.0
1,0.7164179104477613,0.8571428571428601,0.0,0.6165803108808285,0.6269430051813473,0.7192982456140349,9.183,4.0,6.0,5.0
7,-0.2985074626865672,-1.0714285714285725,0.0,-0.36269430051813467,-0.3575129533678759,-0.43859649122807015,6.877,4.0,5.0,2.0
8,-0.3134328358208956,1.0,0.0,-0.4507772020725388,-0.44559585492228004,-0.4122807017543861,6.554,4.0,3.0,2.0
10,0.14925373134328357,-0.285714285714285,0.0,0.15025906735751246,0.17098445595854928,0.14912280701754377,7.484,1.0,3.0,7.0
11,-0.32835820895522394,-0.07142857142857252,0.0,-0.46113989637305713,-0.45595854922279794,-0.48245614035087736,6.353,4.0,1.0,7.0
13,0.253731343283582,0.5000000000000026,0.3333333333333333,0.22797927461139864,0.24352331606217606,0.28070175438596473,7.671,4.0,4.0,7.0
16,0.2686567164179104,0.3571428571428575,-0.3333333333333333,0.24870466321243492,0.2642487046632124,0.29824561403508754,8.087,4.0,6.0,4.0
17,-0.3134328358208956,0.57142857142857,0.3333333333333333,-0.44041450777202085,-0.43523316062176165,-0.4210526315789473,6.23,1.0,2.0,0.0
18,-0.014925373134328374,0.07142857142857252,0.0,-0.025906735751295696,-0.015544041450777334,-0.01754385964912282,7.451,4.0,5.0,3.0
19,-0.16417910447761203,-1.571428571428575,1.0,-0.17098445595854922,-0.17098445595854928,-0.2719298245614035,7.072,4.0,2.0,0.0
21,0.0746268656716417,0.57142857142857,-1.0,0.0777202072538857,0.0777202072538862,0.12280701754385935,7.365,4.0,3.0,6.0
23,-0.34328358208955234,0.3571428571428575,-0.3333333333333333,-0.4663212435233161,-0.46632124352331633,-0.46491228070175455,6.76,1.0,2.0,0.0
25,-0.029850746268656747,-0.07142857142857252,0.0,-0.04145077720207256,-0.04145077720207258,-0.043859649122807244,7.911,4.0,1.0,3.0
26,1.0,-2.3571428571428577,1.0,0.9378238341968907,0.8808290155440417,0.7456140350877193,8.961,4.0,3.0,4.0
27,-0.1791044776119404,0.57142857142857,-0.3333333333333333,-0.23316062176165805,-0.2590673575129534,-0.21929824561403508,7.266,3.0,5.0,4.0
28,-0.16417910447761203,0.07142857142857252,0.3333333333333333,-0.20207253886010385,-0.23316062176165817,-0.21929824561403508,7.074,1.0,5.0,2.0
29,0.8805970149253733,0.285714285714285,0.6666666666666666,0.7823834196891188,0.7305699481865287,0.8157894736842106,8.456,3.0,6.0,3.0
33,0.04477611940298512,0.0,0.3333333333333333,0.051813471502590476,0.015544041450777334,0.03508771929824525,7.633,4.0,6.0,6.0
34,-0.3134328358208956,0.285714285714285,-0.6666666666666666,-0.41968911917098456,-0.4093264248704664,-0.4122807017543861,6.04,4.0,6.0,2.0
35,0.28358208955223874,0.14285714285714504,0.0,0.27979274611398913,0.29015544041450764,0.3070175438596488,7.525,4.0,4.0,2.0
38,-0.2985074626865672,0.285714285714285,-0.3333333333333333,-0.4093264248704662,-0.41450777202072536,-0.4122807017543861,6.852,4.0,1.0,7.0
39,0.253731343283582,0.3571428571428575,0.0,0.24870466321243492,0.2538860103626944,0.28947368421052594,7.631,4.0,6.0,3.0
40,2.985074626865672,-0.285714285714285,0.3333333333333333,1.8601036269430045,1.8186528497409329,1.8859649122807014,9.626,4.0,3.0,4.0
43,-0.34328358208955234,-0.07142857142857252,0.0,-0.4663212435233161,-0.45595854922279794,-0.48245614035087736,6.797,4.0,5.0,0.0
45,-0.3134328358208956,1.0714285714285725,-0.3333333333333333,-0.4352331606217619,-0.47150259067357525,-0.4122807017543861,6.356,1.0,3.0,7.0
47,-0.28358208955223885,-0.6428571428571425,0.3333333333333333,-0.3678756476683941,-0.3523316062176165,-0.4122807017543861,6.579,1.0,1.0,3.0
49,0.253731343283582,-0.21428571428571247,0.0,0.23316062176165758,0.2590673575129534,0.2456140350877191,8.179,4.0,6.0,5.0
51,1.611940298507463,-1.7857142857142876,1.3333333333333333,1.2694300518134707,1.2176165803108807,1.1315789473684206,9.412,3.0,1.0,2.0
