id,carat,depth,table,x,y,z,price,cut_encoded,color_encoded,clarity_encoded
0,-0.34328358208955234,0.6428571428571425,0.6666666666666666,-0.47668393782383445,-0.5,-0.47368421052631576,6.353,1,0,6
1,0.7164179104477613,0.8571428571428601,0.0,0.6165803108808285,0.6354166666666665,0.7192982456140349,9.183,0,1,2
7,-0.2985074626865672,-1.0714285714285725,0.0,-0.36269430051813467,-0.354166666666667,-0.43859649122807015,6.877,0,1,2
8,-0.3134328358208956,1.0,0.0,-0.4507772020725388,-0.44270833333333365,-0.4122807017543861,6.554,2,1,4
10,0.14925373134328357,-0.285714285714285,0.0,0.15025906735751246,0.17708333333333326,0.14912280701754377,7.484,0,0,5
11,-0.32835820895522394,-0.07142857142857252,0.0,-0.46113989637305713,-0.45312500000000006,-0.48245614035087736,6.353,0,3,4
13,0.253731343283582,0.5000000000000026,0.3333333333333333,0.22797927461139864,0.24999999999999978,0.28070175438596473,7.671,2,4,3
16,0.2686567164179104,0.3571428571428575,-0.3333333333333333,0.24870466321243492,0.27083333333333315,0.29824561403508754,8.087,0,0,5
17,-0.3134328358208956,0.57142857142857,0.3333333333333333,-0.44041450777202085,-0.43229166666666674,-0.4210526315789473,6.23,0,3,5
18,-0.014925373134328374,0.07142857142857252,0.0,-0.025906735751295696,-0.010416666666666907,-0.01754385964912282,7.451,0,3,3
19,-0.16417910447761203,-1.571428571428575,1.0,-0.17098445595854922,-0.16666666666666682,-0.2719298245614035,7.072,1,3,1
21,0.0746268656716417,0.57142857142857,-1.0,0.0777202072538857,0.08333333333333341,0.12280701754385935,7.365,0,5,1
23,-0.34328358208955234,0.3571428571428575,-0.3333333333333333,-0.4663212435233161,-0.46354166666666696,-0.46491228070175455,6.76,0,3,0
25,-0.029850746268656747,-0.07142857142857252,0.0,-0.04145077720207256,-0.03645833333333348,-0.043859649122807244,7.911,0,2,1
26,1.0,-2.3571428571428577,1.0,0.9378238341968907,0.890625,0.7456140350877193,8.961,1,3,4
27,-0.1791044776119404,0.57142857142857,-0.3333333333333333,-0.23316062176165805,-0.2552083333333335,-0.21929824561403508,7.266,0,3,0
28,-0.16417910447761203,0.07142857142857252,0.3333333333333333,-0.20207253886010385,-0.22916666666666688,-0.21929824561403508,7.074,0,1,3
29,0.8805970149253733,0.285714285714285,0.6666666666666666,0.7823834196891188,0.7395833333333334,0.8157894736842106,8.456,1,4,6
33,0.04477611940298512,0.0,0.3333333333333333,0.051813471502590476,0.020833333333333353,0.03508771929824525,7.633,0,0,4
34,-0.3134328358208956,0.285714285714285,-0.6666666666666666,-0.41968911917098456,-0.40625000000000017,-0.4122807017543861,6.04,0,4,6
35,0.28358208955223874,0.14285714285714504,0.0,0.27979274611398913,0.2968749999999997,0.3070175438596488,7.525,0,6,5
38,-0.2985074626865672,0.285714285714285,-0.3333333333333333,-0.4093264248704662,-0.41145833333333337,-0.4122807017543861,6.852,0,3,0
39,0.253731343283582,0.3571428571428575,0.0,0.24870466321243492,0.2604166666666667,0.28947368421052594,7.631,0,1,6
40,2.985074626865672,-0.285714285714285,0.3333333333333333,1.8601036269430045,1.8333333333333333,1.8859649122807014,9.626,1,4,6
43,-0.34328358208955234,-0.07142857142857252,0.0,-0.4663212435233161,-0.45312500000000006,-0.48245614035087736,6.797,0,1,1
45,-0.3134328358208956,1.0714285714285725,-0.3333333333333333,-0.4352331606217619,-0.4687500000000002,-0.4122807017543861,6.356,0,5,4
47,-0.28358208955223885,-0.6428571428571425,0.3333333333333333,-0.3678756476683941,-0.3489583333333333,-0.4122807017543861,6.579,0,3,3
49,0.253731343283582,-0.21428571428571247,0.0,0.23316062176165758,0.2656249999999999,0.2456140350877191,8.179,2,0,3
51,1.611940298507463,-1.7857142857142876,1.3333333333333333,1.2694300518134707,1.2291666666666665,1.1315789473684206,9.412,1,0,5
52,0.2686567164179104,0.714285714285715,0.6666666666666666,0.238341968911917,0.2552083333333335,0.3070175438596488,8.115,2,1,4
53,-0.3134328358208956,0.6428571428571425,0.6666666666666666,-0.41968911917098456,-0.40625000000000017,-0.3947368421052633,5.961,2,5,5
54,0.014925373134328374,0.0,-0.3333333333333333,0.005181347150258956,0.010416666666666446,0.008771929824561216,7.483,0,1,5
56,-0.34328358208955234,0.21428571428571247,1.3333333333333333,-0.47150259067357503,-0.4947916666666668,-0.49122807017543857,6.654,1,3,3
58,-0.22388059701492544,0.8571428571428601,-0.3333333333333333,-0.32124352331606215,-0.29687500000000017,-0.2719298245614035,7.268,0,1,0
60,0.3134328358208955,0.14285714285714504,0.0,0.31606217616580273,0.29166666666666646,0.3245614035087716,7.93,0,1,5
61,0.253731343283582,0.285714285714285,0.3333333333333333,0.2227979274611397,0.2656249999999999,0.27192982456140313,7.71,0,2,5
62,0.11940298507462682,-1.2142857142857175,2.0,0.12953367875647664,0.15104166666666669,0.061403508771929675,7.261,3,0,6
67,-0.34328358208955234,0.8571428571428601,1.0,-0.4870466321243524,-0.47916666666666663,-0.45614035087719296,6.528,1,4,1
68,-0.34328358208955234,-0.14285714285714504,0.3333333333333333,-0.46113989637305713,-0.48437500000000033,-0.5000000000000002,6.564,0,5,1
70,-0.3134328358208956,0.8571428571428601,-0.3333333333333333,-0.4507772020725388,-0.44791666666666685,-0.4210526315789473,6.554,0,1,4
71,-0.029850746268656747,0.6428571428571425,0.3333333333333333,-0.06735751295336825,-0.05729166666666684,-0.026315789473684424,7.432,0,3,3
73,-0.13432835820895528,-0.3571428571428575,1.3333333333333333,-0.15544041450777235,-0.18750000000000017,-0.20175438596491224,6.898,1,3,5
74,0.28358208955223874,-0.07142857142857252,0.0,0.29533678756476645,0.30208333333333337,0.3070175438596488,8.195,0,0,3
75,0.746268656716418,0.9285714285714275,0.0,0.6373056994818649,0.6197916666666664,0.7280701754385961,8.469,0,0,6
79,-0.34328358208955234,-0.14285714285714504,-0.3333333333333333,-0.4507772020725388,-0.47916666666666663,-0.49122807017543857,6.594,0,2,3
81,0.8955223880597014,-1.571428571428575,1.0,0.8497409326424866,0.8072916666666666,0.7280701754385961,9.09,1,3,1
83,0.35820895522388063,0.7857142857142875,-0.3333333333333333,0.34715025906735736,0.31770833333333304,0.4035087719298245,7.834,1,5,3
84,-0.029850746268656747,1.0,-0.3333333333333333,-0.05699481865284989,-0.08333333333333341,-0.008771929824561606,7.072,1,5,4
85,2.328358208955224,-3.0714285714285725,2.6666666666666665,1.6994818652849732,1.6770833333333337,1.429824561403508,9.357,3,6,4
87,1.0895522388059702,-0.285714285714285,0.3333333333333333,0.9170984455958544,0.9062500000000001,0.9210526315789467,9.568,0,1,2
88,-0.2985074626865672,0.14285714285714504,1.0,-0.40414507772020725,-0.4218750000000003,-0.4210526315789473,6.918,1,4,0
89,-0.029850746268656747,1.42857142857143,-0.3333333333333333,-0.08290155440414512,-0.06770833333333329,0.008771929824561216,6.974,2,5,5
93,-0.32835820895522394,-0.07142857142857252,0.3333333333333333,-0.4455958549222798,-0.44270833333333365,-0.47368421052631576,6.649,0,3,1
95,0.014925373134328374,0.21428571428571247,0.0,0.010362694300517911,-0.005208333333333223,0.01754385964912282,7.621,0,0,4
96,-0.22388059701492544,-0.07142857142857252,-0.3333333333333333,-0.2953367875647669,-0.28645833333333326,-0.3070175438596492,6.515,0,5,4
97,0.8208955223880599,-0.3571428571428575,0.6666666666666666,0.7305699481865279,0.7135416666666667,0.7192982456140349,9.231,2,2,1
98,1.119402985074627,0.14285714285714504,-0.3333333333333333,0.901554404145077,0.9218749999999998,0.9561403508771924,9.078,0,4,1
101,-0.20895522388059706,-0.07142857142857252,1.0,-0.2797927461139896,-0.2656249999999999,-0.2894736842105263,6.962,2,0,2
104,1.9552238805970152,-1.285714285714285,0.6666666666666666,1.4404145077720198,1.4270833333333335,1.3596491228070169,9.54,1,4,5
105,0.3880597014925374,-1.714285714285715,0.3333333333333333,0.4404145077720204,0.42708333333333304,0.3245614035087716,7.696,1,6,5
107,0.8805970149253733,-0.42857142857143005,0.3333333333333333,0.808290155440414,0.7499999999999998,0.7719298245614029,9.119,1,3,0
108,-0.32835820895522394,-0.21428571428571247,0.0,-0.4300518134715025,-0.4218750000000003,-0.45614035087719296,6.574,0,2,2
109,-0.32835820895522394,-0.3571428571428575,0.0,-0.4559585492227982,-0.43749999999999994,-0.48245614035087736,6.465,0,3,3
113,-0.2985074626865672,0.0,0.0,-0.40414507772020725,-0.39583333333333326,-0.4210526315789473,6.55,0,3,3
114,-0.1940298507462687,-0.57142857142857,1.3333333333333333,-0.23316062176165805,-0.2604166666666667,-0.2894736842105263,7.188,1,0,2
117,0.04477611940298512,-0.07142857142857252,0.3333333333333333,0.03626943005181315,0.04687499999999993,0.03508771929824525,7.154,0,2,6
